dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,region,country,harmonisation_region,n_sample_counts,age_min,age_max,n_chron_control,age_type,curve_name,postbomb_curve_name,end_of_interest_period,source_of_data,data_publicity,doi
48798,SWIENSKU,27275,Swienskuhle,8.72184,53.67137,NA,Bog,Europe,Germany,Europe,88,87.5,8071.5,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/KS09-DK06
48837,PATA,27297,Lake Pata,-66.67672,0.28602,298,Natural Lake,Latin America,Brazil,Latin America,119,-57,7542,14,Calibrated radiocarbon years BP,mixed_curve20,nh_zone_3,20000,Neotoma,open,10.21233/6SMA-AF79
48879,TROUTMI,24108,Trout Lake,-87.8992,46.85688,NA,Glacial Scour Lake,North America,United States,North America,28,20,4544,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/HGA4-AN42
489,CLEARLIA,478,Clear Lake,-93.47756,43.109,NA,Glacial Origin Lake,North America,United States,North America,35,-30,13107,10,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n3c026
48908,ANNMI2,24091,Lake Ann,-87.93322,46.86952,NA,Glacial Scour Lake,North America,United States,North America,32,1335,8897,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/K4Z5-VW74
48909,ANNMI2,24091,Lake Ann,-87.93322,46.86952,NA,Glacial Scour Lake,North America,United States,North America,32,1335,8894,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/MW59-QE59
48911,FERLANCE,27316,Etang Fer-de-Lance,-72.22857,45.35499,NA,Glacial Origin Lake,North America,Canada,North America,101,-62,2239,23,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/EHX3-MW19
48912,FERLANCE,27316,Etang Fer-de-Lance,-72.22857,45.35499,NA,Glacial Origin Lake,North America,Canada,North America,101,-62,2237,23,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/4JTC-M442
48917,SURUSOO,27319,Surusoo bog,22.42306,58.52611,NA,Raised Bog,Europe,Estonia,Europe,60,199,10698,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/G9JK-3257
48919,SURUSOO,27320,Surusoo bog,22.42306,58.52611,NA,Raised Bog,Europe,Estonia,Europe,60,200,11089.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/6SYE-C988
48921,SURUSOO,27321,Surusoo bog,22.42306,58.52611,NA,Raised Bog,Europe,Estonia,Europe,59,204,11420,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/YTB8-KJ43
48923,SURUSOO,27322,Surusoo bog,22.42306,58.52611,NA,Raised Bog,Europe,Estonia,Europe,59,194,11449,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/47K2-XV64
48925,CHASEMA,27324,Chase Lake,-69.04601,46.40468,NA,Moraine Dammed Lake,North America,United States,North America,31,-10,12831.5,12,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/KQTS-1063
48926,PITKASO1,27323,Pitkasoo,22.22222,58.27111,NA,Fen,Europe,Estonia,Europe,73,1912.5,9641,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/0J6Y-2769
48928,VEDRUKA,27325,Vedruka,22.06158,58.33007,NA,Raised Bog,Europe,Estonia,Europe,86,-12,7953,13,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/93QR-E085
48931,CARRIZAL,27326,El Carrizal lake,-4.14498,41.31848,NA,Natural Lake,Europe,Spain,Europe,67,-45,11922.5,6,Calendar years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/ZWNY-YK04
48935,ESPINOSA,27328,Espinosa de Cerrato,-3.93936,41.95209,NA,Marsh,Europe,Spain,Europe,171,-35,11571.5,8,Calendar years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/VBG8-BW42
48937,STMOMES2,16152,Saint-Momelin,2.25167,50.79417,NA,Marsh,Europe,France,Europe,86,1917,8784.5,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/3RWJ-JK84
48940,CF8,27331,Lake CF8,-68.95281,70.55568,NA,Glacial Origin Lake,North America,Canada,North America,8,990.5,7971,14,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/V9JA-V544
48945,HOLEYM,27333,Holey Meadow,-118.61884,35.95178,NA,Palustrine,North America,United States,North America,44,-69,2845.5,7,Calibrated radiocarbon years BP,intcal20,nh_zone_2,20000,Neotoma,open,10.21233/CQ9Q-5983
48950,CORREO,27335,Correo,5.99556,44.555,NA,Bog,Europe,France,Europe,171,719,10899.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/BSHH-CV40
48952,CHEYLAN1,15874,Etang de Cheylade,2.895,45.09,NA,Pond,Europe,France,Europe,30,3581.5,14793.5,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/Z80G-HJ33
48957,CHANGE,27337,Change-Glatinier,-0.78889,48.11667,NA,Bog,Europe,France,Europe,33,-24,5800,10,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/THFZ-S805
48960,BELIER,27338,Lac du Mont de Belier,2.64556,45.33944,NA,Lacustrine,Europe,France,Europe,62,106,12185.5,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/V66K-9M63
